id,name,email,age,entrydate,gender,spend,upperlimit,income,education
1,glen,glent@gmail.com,23,19650409,M,462,714,23113.3,U
2,Yinging,yirmic302@gmail.com,24,20070611,F,215,571,20000,C
3,Lendor,kude1035@gmail.com,45,19900905,M,185,1000,72000,U
4,Rickina,RK023781@aol.com,24,19850110,F,800,714,0,H
5,Tomocro,troman.telcon@gmail.com,NA,19970819,M,46,857,35000,C
6,Keren,tl.nesleeza@hotmail.com,58,19550902,M,1000,429,0,U
7,Mafammia,mafuupink@yahoo.ca,28,19611127,F,338,NA,90000,H
8,Lina,Lina.centen1023@gmail.com,42,19970303,M,185,429,NA,U
9,Cather,clarkying@yahoo.com,33,19851101,M,554,571,80000,C
10,Kelvn,chimecll.lx@gmail.com,45,19921026,M,31,714,22000,U
20,David,linta8892@gmail.com,63,19951012,M,108,857,42999,H
12,Tomocro,troman.telcon@gmail.com,NA,19970819,M,46,857,35000,C
13,NA,yantming056@yahoo.com,38,19810608,F,NA,429,0,NA
14,Kelvn,chimecll.lx@gmail.com,23,19921026,M,89,714,5900,U
6,Keren,tl.nesleeza@hotmail.com,58,19550902,M,1000,429,0,U
15,David,denniel7008@hotmail.com,70,19900908,M,554,714,21000,H
16,Mike,Mk03723@gmail.com,23,20050322,M,185,286,40000,H
4,Rickina,RK023781@aol.com,24,19850110,F,800,714,0,H
18,Mike,MMKK023@gmail.com,NA,20051205,M,538,857,89000,C
19,Zenik,Mufa.li@yahoo.com,27,19721201,M,15,857,31000,C
20,Marry,hes.kui@hotmail.com,58,19720822,F,723,429,43000,C
21,Tanko,Tank0923@yahoo.ca,28,20010304,M,0,0,0,C
22,Emamakee,Kookder231@gmail.com,42,19960309,F,400,571,52900,H
23,NA,minko12945@yahoo.com,33,19330413,M,923,714,40000,U
24,Qxian,c9012@kirkoland.com,45,19911213,F,NA,571,52000,U
25,John,Yue30189@gmail.com,63,20060610,M,600,571,76000,C
26,Flighte,Filiwwe1987@IBM.com,38,19780922,F,462,714,0,C
27,Kamber,Boao3321@hotmail.com,70,20111119,M,169,571,170000,H
